Key,Ort_R,Std_R,Car_R,Bas_R,Ort_G,Std_G,Car_G,Bas_G,Ort_B,Std_B,Car_B,Bas_B,Like,Boy_3/4 kol,Boy_Kısa Kol,Boy_Uzun Kol
149,0.5934959349592963,0.5572660925039716,0.6008106499029118,0.0645818537922072,0.3715415019762846,0.5956264813305481,0.6311853721180245,0.0492327180065685,0.4470588235294117,0.63881102726801,0.6673647034582719,0.0437697426678543,0.0384615384615384,0,1,0
152,0.5325203252031987,0.7166841404060205,0.756461444773858,0.0293462791823392,0.8616600790513577,0.7091280153524482,0.7469062634248673,0.027672840246825,0.4627450980391899,0.8457582933913624,0.8442072821603428,0.0125508129536466,0.4615384615384615,0,1,0
153,0.0934959349592963,0.7146601648643212,0.7550615389098787,0.0296746724201199,0.5177865612647963,0.7126388989462342,0.7477920025988545,0.0271444652671958,0.7843137254901447,0.669142194329918,0.7016828801274086,0.0376122190208318,0.5,0,1,0
167,0.727642276422711,0.6643837501795085,0.7711874449703511,0.0386453010985192,0.0276679841897233,0.6750709340769236,0.7780656480885588,0.033181723934672,0.313725490196027,0.6720927674778555,0.773348211893023,0.0370506993254221,0.3380281690140845,0,1,0
173,0.3414634146341463,0.6773872134870127,0.7162943133402224,0.0361636617396166,0.5059288537549149,0.6850316960343505,0.7142187267422131,0.0314962786260476,0.8156862745097783,0.69348964398372,0.7123896140261192,0.0331515286518489,0.348644578313253,0,1,0
174,0.7195121951219512,0.7164941376363418,0.7682391394802526,0.0293766926942683,0.0474308300395256,0.7147269517558184,0.7623049055260545,0.0268338048817667,0.901960784313674,0.7477908186303138,0.7818330315477848,0.0245203810254389,0.3333333333333333,0,1,0
176,0.0040650406504065,0.5740087020979614,0.6005654657106283,0.0597728391263149,0.7588932806323593,0.6021577836614584,0.6258229538167117,0.0477129453805983,0.3176470588235294,0.6028458215038545,0.6197474255492303,0.0520609794083982,0.3401709401709402,0,1,0
178,0.975609756097561,0.6607179152921865,0.6953846512700781,0.0393667549706611,0.4308300395256917,0.6978359197677335,0.7206953498229518,0.0294219307823581,0.1803921568627194,0.7152407157571344,0.7332800731781994,0.0294912080247681,0.4666666666666667,0,1,0
182,0.4349593495934426,0.5615036963705915,0.6465075266236464,0.063333701413798,0.5612648221343874,0.5893336321672977,0.6794585188843911,0.0507346166418012,0.701960784313674,0.6093441021126745,0.696071353575543,0.0504750969741646,0.5263157894736842,0,1,0
183,0.7601626016259896,0.518774958537942,0.5810949672388674,0.0769763583126454,0.6007905138339663,0.5614805149673481,0.6231693852445819,0.0578706259932214,0.0627450980392156,0.5714956363613938,0.6299467147823343,0.0603087071794515,0.4390171699230313,0,1,0
184,0.5162601626015993,0.5954357069163114,0.6452628659521287,0.0540690360084075,0.581027667984138,0.6340285743235867,0.6747178597821357,0.0408461929758503,0.3058823529411765,0.6465630474729199,0.6733177635038348,0.0421284965144997,0.2253521126760563,0,1,0
186,0.3373983739836865,0.379159530628437,0.4843309255832422,0.1441240541973783,0.6086956521739131,0.3950760256670866,0.4942905173969225,0.1244417158314638,0.6,0.3855399673840233,0.4779498049465174,0.1397210989996343,0.6071428571428571,0,1,0
187,0.3821138211381847,0.5532966210910975,0.6018617871732139,0.0657715491909966,0.3517786561264563,0.575317275819849,0.6180696460861763,0.0542234381115119,0.2980392156862488,0.5869681312326555,0.6203519694882635,0.0561092529894082,0.3552859618717504,0,1,0
189,0.2113821138211115,0.515028236695179,0.5753989248442941,0.0782938623930002,0.8458498023715416,0.5313974985574466,0.586562139400205,0.0665713136307761,0.7098039215686017,0.5379835237765346,0.584590290181455,0.0703566127075052,0.3333333333333333,0,1,0
191,0.2926829268292683,0.6576003771155567,0.6842739666014144,0.0399896228686201,0.7628458498023717,0.648762578059958,0.6705686416111658,0.0379525374061538,0.5490196078430858,0.6751553570454144,0.6856553122552103,0.0364731973920496,0.4258373205741627,0,1,0
196,0.3739837398373451,0.6297792762510472,0.7054356237676329,0.0458758985416003,0.9209486166007648,0.6455934300353341,0.7158543537759536,0.0385606207032656,0.2470588235294117,0.6581078106748158,0.7204834839910375,0.0397718284115672,0.4308035714285714,0,1,0
199,0.7113821138211116,0.3227944477625938,0.3469882148387029,0.1863221353397675,0.0632411067193676,0.5442114308937829,0.5559556267002741,0.0627307778576025,0.6941176470588235,0.6725761576961252,0.6797828702224407,0.0369585567078047,0.5,0,0,1
201,0.7601626016259896,0.5795521274759674,0.6374883636038051,0.0582488101621313,0.0118577075098814,0.606287106490424,0.65813738349327,0.0467743567661566,0.3568627450980134,0.62617638377499,0.6678376972432993,0.0465519412648688,0.4,0,1,0
202,0.7560975609756098,0.3795363238671261,0.4986072021865997,0.1438772708931739,0.7430830039525433,0.4318517002613868,0.5264153325467467,0.1051006448258677,0.301960784313674,0.4703684808158884,0.5458337501213875,0.0954777603916814,0.3761955366631243,0,1,0
